ID	LineA_1	LineA_2	LineA_3	LineA_4	LineA_5	LineB_1	LineB_2	LineB_3	LineB_4	LineB_5	LineB_6	LineB_7	LineB_8	LineB_9	LineB_10
ENSG00000005100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000005102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005156	3	23	6	0	1	1	0	0	3	0	0	0	0	0	0
ENSG00000005175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005189	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ENSG00000005194	153	78	39	127	120	153	23	94	0	28	44	48	44	172	47
ENSG00000005206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005238	0	2	13	0	3	0	0	11	0	0	0	1	0	0	0
ENSG00000005243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005249	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005339	0	0	0	0	0	0	1	0	0	0	28	0	0	0	0
ENSG00000005379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005448	0	0	0	2	14	1	0	0	0	0	113	1	0	0	0
ENSG00000005469	1	1	0	2	1	0	0	32	0	0	4	3	0	38	10
ENSG00000005471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005513	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0
ENSG00000005700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005801	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0
ENSG00000005810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005884	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000005889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005961	59	0	1	0	0	8	0	0	0	0	14	37	0	0	0
ENSG00000005981	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000006007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006047	35	0	1	24	1	15	49	35	12	6	0	53	0	54	33
ENSG00000006059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ENSG00000006071	0	0	2	0	1	0	0	0	0	0	0	0	0	7	0
ENSG00000006074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006114	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000006125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006128	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000006194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006282	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0
ENSG00000006283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006377	0	0	0	0	0	0	0	0	18	0	3	0	2	0	0
ENSG00000006432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006451	9	0	12	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000006453	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006459	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
ENSG00000006468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006530	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000006534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006611	15	0	0	19	2	49	75	0	0	62	0	57	43	7	53
ENSG00000006625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006652	2	3	0	10	3	14	26	3	2	18	0	0	4	7	32
ENSG00000006659	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0
ENSG00000006695	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006704	0	0	0	0	0	1	0	0	0	0	25	0	0	13	3
ENSG00000006712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006715	13	4	0	2	1	10	0	0	0	0	0	1	0	1	0
ENSG00000006740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006744	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
ENSG00000006747	0	0	1	0	0	0	0	0	4	1	0	2	0	0	0
ENSG00000006756	0	0	0	0	0	0	0	0	0	0	6	0	3	0	2
ENSG00000006757	17	0	39	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000006788	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
ENSG00000006831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007047	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000007062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007168	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000007171	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
ENSG00000007174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007237	1	3	0	12	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007264	0	49	2	0	0	1	0	1	0	6	0	0	0	1	0
ENSG00000007306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007314	64	20	18	57	26	44	19	18	21	70	100	9	1	3	120
ENSG00000007341	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
ENSG00000007350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007376	1	4	0	0	0	1	0	0	17	6	0	0	0	0	0
ENSG00000007384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007866	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
ENSG00000007908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007952	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ENSG00000007968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008083	0	0	0	0	0	0	2	0	0	0	0	3	0	0	14
ENSG00000008086	7	1	0	5	0	10	0	13	4	2	0	3	23	22	30
ENSG00000008118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008196	0	1	0	0	0	0	0	7	0	0	1	1	18	0	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSG00000008226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008277	0	1	0	0	0	0	4	0	4	2	0	0	3	0	2
ENSG00000008282	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
ENSG00000008283	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0
ENSG00000008294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008300	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000008311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008324	12	0	0	7	0	0	0	0	5	9	0	0	0	0	0
ENSG00000008382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008438	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008441	0	0	0	0	6	0	0	4	0	0	0	0	0	0	0
ENSG00000008513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008516	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008517	155	13	68	69	45	28	9	3	0	1	18	66	9	29	32
ENSG00000008710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008853	0	18	0	0	15	0	0	16	0	0	0	0	0	29	0
ENSG00000008869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008952	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ENSG00000008988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
ENSG00000009724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009830	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000009844	0	5	0	0	0	0	0	0	0	0	2	0	0	6	0
ENSG00000009950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009954	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSG00000010017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010219	0	4	2	0	2	24	27	3	13	83	0	0	0	0	0
ENSG00000010244	8	1	0	1	0	1	0	26	0	0	557	0	0	0	0
ENSG00000010256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000010278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010327	0	0	0	0	0	0	0	3	19	0	1	0	0	0	0
ENSG00000010361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010671	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000010704	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000010803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000010818	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
ENSG00000010932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011007	113	61	137	131	27	2	1	0	0	0	0	23	0	18	5
ENSG00000011009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011021	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000011028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011114	0	0	2	0	0	0	2	0	0	3	228	3	0	0	13
ENSG00000011132	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ENSG00000011143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011201	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1
ENSG00000011243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011295	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000011304	19	0	0	6	1	0	0	0	2	0	1	0	0	4	0
ENSG00000011332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011347	0	1	0	0	0	1	13	0	1	0	0	0	0	0	4
ENSG00000011376	0	0	0	0	0	0	0	0	4	0	26	0	0	0	0
ENSG00000011405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011422	0	29	29	0	1	61	30	34	23	102	34	14	0	32	1
ENSG00000011426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011454	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011478	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000011485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011566	0	4	1	38	123	0	2	0	0	0	0	0	10	0	3
ENSG00000011590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011600	0	0	0	26	1	0	0	0	0	0	0	0	0	0	0
ENSG00000011638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012061	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
ENSG00000012124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012211	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000012223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012504	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000012660	2	1	0	9	0	0	0	0	0	0	4	0	0	0	0
ENSG00000012779	3	1	0	5	0	0	0	0	1	0	0	0	0	0	0
ENSG00000012817	0	4	0	0	5	1	5	0	0	0	5	1	0	2	0
ENSG00000012822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013288	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013297	13	3	0	3	24	16	9	40	103	12	0	12	0	15	1
ENSG00000013306	0	0	0	0	0	18	25	0	0	1	0	0	0	0	0
ENSG00000013364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013374	48	38	4	93	16	116	85	2	0	61	12	2	73	5	15
ENSG00000013375	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000013392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013441	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013503	0	0	0	0	0	0	9	0	0	0	0	1	6	2	0
ENSG00000013523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013573	3	0	0	1	2	18	0	10	0	47	7	18	0	1	2
ENSG00000013583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000013619	0	0	0	0	0	0	0	0	1	0	9	0	1	0	0
ENSG00000013725	1	0	9	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000013810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000014123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000014138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000014164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000014216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000014257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
